1,10095
2,10051
3,9994
4,9957
5,9877
6,9865
7,9801
8,9711
9,9663
10,9593
11,9526
12,9428
13,9340
14,9251
15,9163
16,8993
17,8877
18,8733
19,8551
20,8306
21,8102
22,7772
23,7500
24,7123
25,6650
26,6143
27,5572
28,4931
29,4108
30,3278
31,2417
32,1611
33,976
34,578
35,268
36,125
37,51
38,16
39,4
