0,43,34
1,76,31
2,55,36
3,60,35
4,70,35
5,59,36
6,65,31
7,60,32
8,51,35
9,72,33
10,75,36
11,54,30
12,60,31
13,55,31
14,64,36
15,61,24
16,82,26
17,74,28
18,65,35
19,66,31
20,70,29
21,55,29
22,60,28
23,56,32
24,56,30
25,67,33
26,85,35
27,71,36
28,63,34
29,67,29
30,57,30
31,76,30
32,74,31
33,69,28
34,73,37
35,72,33
36,64,32
37,55,35
38,79,34
39,63,34
40,76,27
41,57,34
42,67,36
43,64,35
44,60,32
45,59,33
46,69,30
47,77,31
48,54,35
49,67,35
50,58,33
51,78,34
52,65,36
53,71,26
54,53,33
55,69,30
56,66,32
57,54,29
58,68,29
59,68,35
60,61,33
61,67,34
62,59,33
63,77,31
64,59,32
65,61,28
66,66,37
67,49,29
68,59,33
69,53,31
70,58,32
71,61,34
72,42,33
73,66,34
74,59,29
75,65,30
76,76,35
77,61,25
78,71,28
79,60,34
80,64,31
81,60,31
82,62,27
83,69,31
84,56,32
85,63,33
86,67,35
87,66,35
88,70,29
89,87,11
90,57,29
91,52,32
92,74,32
93,51,28
94,67,34
95,72,32
96,73,34
97,67,37
98,59,35
99,69,31
100,48,30
101,65,28
102,68,33
103,71,31
104,51,33
105,70,35
106,60,35
107,66,35
108,64,28
109,60,34
110,64,34
111,53,35
112,56,31
113,55,31
114,80,33
115,60,29
116,66,32
117,70,29
118,67,26
119,53,33
120,55,33
121,59,27
122,67,35
123,57,36
124,76,37
125,72,31
126,60,36
127,58,33
128,83,19
129,67,30
130,65,32
131,61,30
132,71,29
133,52,33
134,67,20
135,60,31
136,62,28
137,52,35
138,63,23
139,52,34
140,61,37
141,67,29
142,64,24
143,65,31
144,54,31
145,47,29
146,59,37
147,73,25
148,59,35
149,74,27
150,56,33
151,81,34
152,78,33
153,61,31
154,80,30
155,70,36
156,72,34
157,68,36
158,76,35
159,66,37
160,67,34
161,68,30
162,66,34
163,77,32
164,65,29
165,66,34
166,47,31
167,80,30
168,67,35
169,62,28
170,62,32
171,59,31
172,56,35
173,62,28
174,65,29
175,65,33
176,68,37
177,56,33
178,75,31
179,69,23
180,73,31
181,57,31
182,64,2
183,67,28
184,71,30
185,69,29
186,58,31
187,75,31
188,74,32
189,62,37
190,59,34
191,59,36
192,69,32
193,63,33
194,59,28
195,64,35
196,59,35
197,66,31
198,69,35
199,63,33
200,65,35
201,54,36
202,60,21
203,63,32
204,61,32
205,66,35
206,63,35
207,78,32
208,71,32
209,54,33
210,67,35
211,51,27
212,74,32
213,58,27
214,67,35
215,77,29
216,74,27
217,79,4
218,78,33
219,60,30
220,62,32
221,63,30
222,63,24
223,52,32
224,70,20
225,62,28
226,67,36
227,57,27
228,78,34
229,60,36
230,72,33
231,66,32
232,57,34
233,61,29
234,65,31
235,61,28
236,60,35
237,58,21
238,77,33
239,61,30
240,67,31
241,64,32
242,74,29
243,71,33
244,57,31
245,51,31
246,81,27
247,55,35
248,68,28
249,56,36
250,73,30
251,49,33
252,70,35
253,61,28
254,66,32
255,68,35
256,68,33
257,75,28
258,68,34
259,68,37
260,68,35
261,65,28
262,72,33
263,60,27
264,58,25
265,71,34
266,50,31
267,57,24
268,61,32
