0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,1
19,3
20,1
21,5
22,3
23,7
24,11
25,18
26,25
27,52
28,55
29,60
30,78
31,82
32,124
33,132
34,164
35,166
36,189
37,209
38,206
39,257
40,288
41,340
42,370
43,540
44,643
45,894
46,1087
47,1440
48,1840
49,2333
50,2918
51,3600
52,4268
53,5120
54,6122
55,7141
56,8113
57,9120
58,9688
59,10679
60,11158
61,11932
62,12383
63,12514
64,12463
65,12357
66,12038
67,11365
68,10783
69,10134
70,9091
71,8234
72,7325
73,6424
74,5446
75,4682
76,3922
77,3313
78,2723
79,2186
80,1734
81,1344
82,1074
83,805
84,618
85,452
86,329
87,261
88,154
89,110
90,73
91,55
92,35
93,27
94,22
95,15
96,10
97,5
98,1
99,5
100,2
101,2
